 108.9  35 | c : DNS request from ('127.0.0.1', 38919) to None: 34 bytes
 108.9  27 | 2019-08-06T15:50:25+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f9c864b5d68>
 109.0  27 | 2019-08-06T15:50:25+0000 [stdout#info] A query: b'bolt.dropbox.com'
 109.0  27 | 2019-08-06T15:50:25+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 39794
 109.0  27 | 2019-08-06T15:50:25+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f9c864b59e8>
 109.0  27 | 2019-08-06T15:50:25+0000 [stdout#info] AAAA query, sending back A instead: b'bolt.dropbox.com'
 109.0  27 | 2019-08-06T15:50:25+0000 [stdout#info] A query: b'bolt.dropbox.com'
 109.0  27 | 2019-08-06T15:50:25+0000 [-] (UDP Port 39794 Closed)
 109.0  27 | 2019-08-06T15:50:25+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f9c864b59e8>
 112.8 TEL | (proxy checking local liveness)
 112.8  27 | 2019-08-06T15:50:29+0000 [Poll#info] Checkpoint
 113.9  35 | c : DNS request from ('127.0.0.1', 55449) to None: 38 bytes
 113.9  27 | 2019-08-06T15:50:30+0000 [stdout#info] A query: b'registry-1.docker.io'
 113.9  27 | 2019-08-06T15:50:30+0000 [DNSDatagramProtocol (UDP)] DNSDatagramProtocol starting on 39094
 113.9  27 | 2019-08-06T15:50:30+0000 [DNSDatagramProtocol (UDP)] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f9c864be160>
 114.0  27 | 2019-08-06T15:50:30+0000 [-] (UDP Port 39094 Closed)
 114.0  27 | 2019-08-06T15:50:30+0000 [-] Stopping protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7f9c864be160>
 114.5  35 | c : DNS request from ('127.0.0.1', 41566) to None: 32 bytes
 114.5  27 | 2019-08-06T15:50:31+0000 [stdout#info] A query: b'auth.docker.io'
